ID	protein_product	biological_class	mRNA_expression	protein_expression	length	GC
VNG_0001H	uncharacterized protein	Cell wall/membrane/envelope biogenesis	3.4372396345026353	3.3010121054195025	1206	0.6533996683250415
VNG_0002G	ABC-type transport system ATP-binding protein(probable substrate macrolides)	Defense mechanisms	3.3085305632276203	2.3056074269454925	666	0.6486486486486487
VNG_0003C	ABC-type transport system permease protein(probable substrate macrolides)	Defense mechanisms	3.2171251097041496	1.8555541710052286	1143	0.6281714785651793
VNG_0005H	uncharacterized protein	Cell wall/membrane/envelope biogenesis	2.4268616624488435	2.6064282946621087	2322	0.6998277347114557
VNG_0006G	glutamine-fructose-6-phosphate transaminase	Cell wall/membrane/envelope biogenesis	2.976954683606518	2.520407035953168	1806	0.6910299003322259
VNG_0008G	sugar nucleotidyltransferase	Cell wall/membrane/envelope biogenesis	2.8107730551650874	2.6414911497039197	1188	0.6919191919191919
VNG_0009G	sugar nucleotidyltransferase	Cell wall/membrane/envelope biogenesis	2.453712396701405	2.7654581207115547	1206	0.6923714759535655
VNG_0011C	sugar transferase	Cell wall/membrane/envelope biogenesis	2.7087363054639697	2.18497438202749	1434	0.6631799163179917
VNG_0013C	IS1341-type transposase ISH37	Mobilome: prophages, transposons	4.14553575887208	1.697692861541413	1257	0.6070007955449482
VNG_0015H	PemK family protein	Defense mechanisms	2.5402388566480596	1.8377375442741155	351	0.5925925925925926
VNG_0016H	HTH domain protein	Transcription	2.8706532847513957	2.4651776831010577	372	0.6129032258064516
VNG_0019H	uncharacterized protein	Function unknown	NA	NA	99	0.494949494949495
VNG_0020H	Fido domain protein	Function unknown	NA	NA	633	0.4628751974723539
VNG_0021H	ISH10-type transposase ISH10	Mobilome: prophages, transposons	NA	NA	1425	0.5894736842105263
VNG_0022H	uncharacterized protein	Function unknown	NA	NA	546	0.5805860805860806
VNG_0023H	uncharacterized protein	Function unknown	NA	NA	636	0.5864779874213837
VNG_0024H	uncharacterized protein	Transcription	NA	NA	321	0.5919003115264797
VNG_0025H	uncharacterized protein	Function unknown	NA	NA	264	0.553030303030303
VNG_0026C	IS1341-type transposase ISH38	Mobilome: prophages, transposons	NA	NA	1257	0.60381861575179
VNG_0027H	uncharacterized protein	Function unknown	NA	NA	648	0.595679012345679
VNG_0028C	homolog to ISH16-type transposase	Mobilome: prophages, transposons	NA	NA	555	0.5765765765765766
VNG_0029H	uncharacterized protein	Function unknown	NA	NA	456	0.5592105263157895
VNG_0030H	uncharacterized protein	Function unknown	NA	NA	396	0.5454545454545454
VNG_0031H	uncharacterized protein	Function unknown	NA	NA	2361	0.5565438373570522
VNG_0032H	uncharacterized protein	Function unknown	NA	NA	384	0.5078125
VNG_0033H	uncharacterized protein	Function unknown	NA	NA	438	0.5981735159817352
VNG_0035H	ISH9-type transposase ISH1	Mobilome: prophages, transposons	NA	NA	813	0.6039360393603936
VNG_0037H	uncharacterized protein	Defense mechanisms	3.4351855508874167	2.5805857007488866	249	0.5662650602409639
VNG_0038H	UPF0395 family protein	Defense mechanisms	2.97211986461401	2.2445530544331262	255	0.5647058823529412
VNG_0039H	HTH domain protein	Transcription	NA	NA	336	0.5744047619047619
VNG_0040C	HTH domain protein	Transcription	NA	NA	405	0.5728395061728395
VNG_0041C	uncharacterized protein	Function unknown	3.600483027807236	1.7322811829901161	306	0.5980392156862745
VNG_0042G	IS1341-type transposase ISH39	Mobilome: prophages, transposons	3.724887907732399	1.4117144515588556	1281	0.5628415300546448
VNG_0043H	IS200-type transposase ISH12	Mobilome: prophages, transposons	NA	NA	393	0.549618320610687
VNG_0044H	IS1341-type transposase ISH12	Mobilome: prophages, transposons	3.9973841080272274	1.4075501698777177	1257	0.6189339697692919
VNG_0045C	Orc1-type DNA replication protein	Replication, recombination and repair	2.086645001821165	1.881241242981528	1233	0.5855636658556367
VNG_0046G	UDP-glucose 6-dehydrogenase AglM	Cell wall/membrane/envelope biogenesis	2.940475844723178	2.9429989076199607	1293	0.6063418406805878
VNG_0047G	UTP--glucose-1-phosphate uridylyltransferaseAglF	Function unknown	2.8583794635754702	2.9137531355583386	729	0.6200274348422496
VNG_0049H	FkbM family methyltransferase	Secondary metabolites biosynthesis, transport and catabolism	2.8279290042081273	2.997967395501423	780	0.4
VNG_0050C	probable RfbX family transport protein	Cell wall/membrane/envelope biogenesis	NA	NA	1443	0.43451143451143454
VNG_0051G	probable glycosyltransferase, type 1	Cell wall/membrane/envelope biogenesis	2.901440043901893	3.0543139223100932	1212	0.5057755775577558
VNG_0052H	ISH8-type transposase ISH8	Mobilome: prophages, transposons	NA	NA	1275	0.5513725490196079
VNG_0054H	uncharacterized protein	Function unknown	NA	NA	678	0.5265486725663717
VNG_0055H	spurious ORF	Function unknown	NA	NA	267	0.5430711610486891
VNG_0056H	ISH10-type transposase ISH10	Mobilome: prophages, transposons	NA	NA	1458	0.5973936899862826
VNG_0057H	uncharacterized protein	Cell wall/membrane/envelope biogenesis	NA	NA	1176	0.5263605442176871
VNG_0058H	uncharacterized protein	Cell wall/membrane/envelope biogenesis	2.6361001031668776	2.140519666864761	1050	0.4685714285714286
VNG_0059H	ISH8-type transposase ISH8	Mobilome: prophages, transposons	NA	NA	1275	0.5905882352941176
VNG_0060G	probable glycosyltransferase, type 1	Cell wall/membrane/envelope biogenesis	2.6582838339340285	1.981595998483214	1074	0.5139664804469274
VNG_0061C	AlkP-core domain protein	Inorganic ion transport and metabolism	2.5840965000849967	2.6736708751628404	1356	0.5383480825958702
VNG_0062G	probable glycosyltransferase, type 1	Cell wall/membrane/envelope biogenesis	2.5528484840331442	2.3070520564040495	1089	0.5932047750229569
VNG_0063G	GalE family epimerase/dehydratase	Cell wall/membrane/envelope biogenesis	2.6863141472360796	2.9367631366988687	987	0.6058763931104356
